GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_MEAN_HIGH_5,R2_MEAN_HIGH_15,R2_STD_HIGH_1,R2_STD_HIGH_5,R2_STD_HIGH_15,MAE_MEAN_HIGH_1,MAE_MEAN_HIGH_5,MAE_MEAN_HIGH_15,MAE_STD_HIGH_1,MAE_STD_HIGH_5,MAE_STD_HIGH_15,INPUT_HIGH_1,INPUT_HIGH_5,INPUT_HIGH_15
He,293,gbm,random_struct,Henry,0.9466751250637548,0.9537406008277024,0.9490626115865218,0.0371590132879561,0.0348246597522391,0.0398724171305318,0.0013255102833691,0.0065080370577527,0.0191727061574164,5.3013842203440304e-05,0.000237986338835,0.0007066895617195,struct+input,struct+input,struct+input
He,293,rf,random_struct,0.01,0.9604971662721162,0.962411541665805,0.9608516711008744,0.0447838911291771,0.0428642546590196,0.0481090660244652,0.0009527077834962,0.0046655044352755,0.013746746088529,5.4615317008350944e-05,0.0002633226030541,0.0007462502422223,struct+input,struct+input,struct+input
He,293,rf,random_struct,0.05,0.9626734737367464,0.964403720241853,0.964203716409508,0.0447971898843995,0.043185170701227,0.0487429664158909,0.0006164109099427,0.0029771877781402,0.0088662854998281,6.077000979195396e-05,0.000280944311112,0.0009092019924708,struct+input,struct+input,struct+input
He,293,rf,random_struct,0.1,0.96355801957276,0.9653955969019942,0.9648419261299196,0.0449231482296739,0.0431560733844045,0.0489628281334283,0.0004988981019858,0.0023949296370577,0.0071824080457548,6.249202581923676e-05,0.0002846817589476,0.0008948112376838,struct+input,struct+input,struct+input
He,293,rf,random_struct,0.5,0.9636321567103666,0.9658264951722004,0.9651274277117292,0.0448432880005419,0.0432092726779817,0.0489051215111726,0.0003302309052908,0.0015362446030919,0.0048127273973502,5.792773170574225e-05,0.0002914687368336,0.0008732113575533,struct+input,struct+input,struct+input
He,293,rf,random_struct,Henry,0.955305930938651,0.957750953872994,0.955991737100413,0.0435527558625722,0.042102720508443,0.0471845401550342,0.0012572923889896,0.0062084952630088,0.0182580971459864,5.51779653174732e-05,0.0002748524038279,0.0007685524617521,struct+input,struct+input,struct+input
He,313,cat,random_struct,0.01,0.9624298429221244,0.9628811765132964,0.9606030798290917,0.0516806328489812,0.0488681816103979,0.0562478551199189,0.0009069404529878,0.0044533804337954,0.0132180697774885,6.186052855165056e-05,0.0002585907811066,0.0008564678985886,struct+input,struct+input,struct+input
He,313,cat,random_struct,0.05,0.9640347012688718,0.9658696049842914,0.9633248197958142,0.0531018743811929,0.0475087626553825,0.0558711506642022,0.0006550901728953,0.0032061767331985,0.0095385750421424,5.350915641322113e-05,0.0002231266013159,0.0007927691383916,struct+input,struct+input,struct+input
He,313,cat,random_struct,0.1,0.9636951495681814,0.9662042449418492,0.9640713157697628,0.0533649783245509,0.0474916587012251,0.0537798758643472,0.0005805987843088,0.0028472742616779,0.0084452261821545,4.235260279371899e-05,0.0001912854853801,0.0006064063791849,struct+input,struct+input,struct+input
He,313,cat,random_struct,0.5,0.9646410941225796,0.9663641325428746,0.9646769659864648,0.0526562839680214,0.0473455697823672,0.0541887240168597,0.000478386100069,0.0023080627931971,0.0068987301275069,3.706619064538709e-05,0.0001334833908412,0.0004873192846827,struct+input,struct+input,struct+input
