folder,filename,num_atoms,a,b,c,aspect_ratio_ab,aspect_ratio_ac,aspect_ratio_bc
,SUNJOB01_clean.cif,50,9.8135,10.431000000000001,11.0671,0.9408014571948997,0.8867273269420173,0.9425233349296565
,PEWXUL01_clean.cif,116,8.63,13.5145,13.5145,0.6385733841429576,0.6385733841429576,1.0
,UWODAN_clean.cif,184,12.7629,16.619662853981126,16.619662853981126,0.767939765814367,0.767939765814367,1.0
,IYUROK_clean.cif,68,9.271389121916952,9.271389121916952,10.526,1.0,0.8808083908338354,0.8808083908338354
,PEJMUN_charged.cif,436,21.464033776207586,21.4638,21.463799999999996,1.0000108916504806,1.0000108916504808,1.0000000000000002
,NASROR_clean.cif,432,19.4032,19.4032,26.787,1.0,0.7243513644678389,0.7243513644678389
,YUDFEK_clean.cif,416,13.137000000000002,23.326,30.227,0.5631912886907314,0.43461144010321906,0.7716941806993748
,LAXGOH03_clean.cif,52,8.5326,9.5883,13.2128,0.8898970620443666,0.6457828772099783,0.725682671348995
,KEDJAG16_clean.cif,80,8.6771,8.740700000000002,33.9886,0.9927236948985776,0.25529442224745946,0.2571656378903516
,FALJAF_clean.cif,484,11.1399,18.0497,29.338,0.6171792328958376,0.3797089099461449,0.6152328038721113
,IXOFIL_clean.cif,72,6.8018,13.5344,16.4156,0.5025564487528077,0.41434976485781816,0.8244840273885815
,ANENEN_clean.cif,110,9.799,11.272,15.935,0.8693222143364088,0.6149356761844995,0.7073737056793222
,ORIVUI_clean.cif,54,6.7119,15.094750092664666,15.094750092664672,0.4446512833135055,0.44465128331350534,0.9999999999999997
,XICYIT_SL.cif,332,13.57,19.8,28.39,0.6853535353535354,0.4779852060584713,0.6974286720676295
,BADYAJ_clean.cif,416,14.592,19.8556,30.621000000000002,0.7349060214750499,0.47653571078671497,0.6484308154534469
,QATDEU_clean.cif,182,12.7262524496609,12.7262524496609,16.2065,1.0,0.7852560669892266,0.7852560669892266
,GADMAA01_clean.cif,166,14.510200000000001,14.510199999999998,15.832,1.0000000000000002,0.916510864072764,0.9165108640727638
,GOPLUS_clean.cif,268,8.085,14.316,29.039370503675478,0.5647527242246437,0.278415126077774,0.49298589300301954
,HAKWUM_clean.cif,18,5.0432,7.246800000000001,8.3499,0.69592095821604,0.603983281236901,0.8678906334207597
,ACAJIZ_clean.cif,116,8.725,13.076,14.402922142745895,0.667252982563475,0.6057798489450552,0.9078713243330135
,DUMXEQ01_clean.cif,132,10.1414,11.3646,17.3983,0.8923675272336907,0.5828960300719037,0.6532017495962249
,WEDXAG_clean.cif,184,9.8257,14.789999999999997,20.182,0.6643475321162948,0.486854622931325,0.7328312357546327
,IGAHED02_clean.cif,22,6.9104,7.4253,8.2544,0.9306560004309591,0.8371777476255088,0.8995566001163016
,DUHXIP_clean.cif,504,13.9914,20.2561,23.3703,0.690725263007193,0.5986829437362807,0.8667453990748942
,TOWMID_clean.cif,362,12.475,15.460000000000003,15.46,0.8069210866752909,0.806921086675291,1.0000000000000002
,YUVGOL_SL.cif,324,20.306720684988054,20.3067,20.3067,1.0000010186287311,1.0000010186287311,1.0
,PUZKUS_clean.cif,112,10.048300000000001,13.4969,16.7346,0.7444894753610088,0.6004505635031612,0.8065265975882303
,PARNIH_clean.cif,220,16.1544,16.1544,21.82,1.0,0.7403483043079743,0.7403483043079743
,KAGVUL_clean.cif,82,10.2776,10.511279450666317,22.788,0.9777686958316474,0.45100930314200455,0.46126379895850084
,VEHYUE_clean.cif,264,11.3677,21.5609,21.5609,0.5272368036584744,0.5272368036584744,1.0
,GIKMOD01_clean.cif,88,7.2806,10.107500000000002,18.2421,0.7203165965866929,0.3991097516185088,0.5540754628030765
,RULXOM_clean.cif,372,22.061340281790418,22.0611,22.061099999999996,1.0000108916504806,1.0000108916504808,1.0000000000000002
,PUWVAG_clean.cif,280,13.787,15.673,18.331,0.8796656670707587,0.7521139054061426,0.8549997272380121
,KATDAM_clean.cif,354,11.2029,21.074700000000004,21.074699999999996,0.5315805207191561,0.5315805207191562,1.0000000000000004
,WAGPOM_clean.cif,162,10.1274,14.460600000000001,17.0203,0.7003443840504543,0.5950188892087683,0.8496089963161638
,AZOHEC_clean.cif,174,12.0029,14.3635,16.9974,0.8356528701221847,0.7061609422617577,0.8450410062715474
,VAHSIH_clean.cif,100,10.3738,13.4494,14.806,0.771320653709459,0.7006483857895448,0.9083749831149535
,HUQHAE_clean.cif,334,19.608000000000004,21.133,21.571,0.9278379785170116,0.9089981920170601,0.9796949608270362
,HEDBID_clean.cif,65,10.8981,11.5452,13.4086,0.9439507327720611,0.8127694166430499,0.8610294885372074
,PUPXII01_clean.cif,92,7.8401,10.3176,15.8809,0.759876327828177,0.4936810886032907,0.6496861009136762
,QUJKOX_clean.cif,156,10.6329,12.7905,25.9152,0.8313123020992143,0.410295888127431,0.4935520466753103
,VERZOJ_clean.cif,52,7.6225,7.7814,12.728,0.9795795101138612,0.5988764927718416,0.6113607793840352
,ENITIF_clean.cif,218,13.701,14.3441,24.5347,0.9551662355951228,0.5584335655214859,0.5846454205676042
,IFAREN_charged.cif,688,18.217400000000005,20.2987,28.4749,0.8974663402089791,0.6397704645143619,0.7128629073324225
,TOKKOV_clean.cif,236,10.290399999999998,13.2061,24.8674,0.7792156654879183,0.4138108527630552,0.5310607461978333
,COKQOK_clean.cif,54,6.821,15.11782005155211,15.117820051552116,0.45118938952443105,0.45118938952443094,0.9999999999999997
